event_id,session_id,event_type,event_time,order_id,revenue
1,1,page_view,2025-09-24T22:19,,0.0
2,2,page_view,2025-10-24T07:05,,0.0
3,2,page_view,2025-10-24T07:06,,0.0
4,2,page_view,2025-10-24T07:13,,0.0
5,2,page_view,2025-10-24T07:20,,0.0
6,2,page_view,2025-10-24T07:13,,0.0
7,3,page_view,2024-01-16T19:22,,0.0
8,3,page_view,2024-01-16T19:25,,0.0
9,3,page_view,2024-01-16T19:24,,0.0
10,4,page_view,2025-08-11T20:31,,0.0
11,4,page_view,2025-08-11T20:32,,0.0
12,4,page_view,2025-08-11T20:37,,0.0
13,4,page_view,2025-08-11T20:34,,0.0
14,4,page_view,2025-08-11T20:51,,0.0
15,4,purchase,2025-08-11T20:41,8148,5175.0
16,5,page_view,2025-09-22T06:55,,0.0
17,6,page_view,2024-03-18T06:23,,0.0
18,6,page_view,2024-03-18T06:27,,0.0
19,6,page_view,2024-03-18T06:29,,0.0
20,6,page_view,2024-03-18T06:26,,0.0
21,6,page_view,2024-03-18T06:39,,0.0
22,6,add_to_cart,2024-03-18T06:34,,0.0
23,7,page_view,2024-06-23T16:03,,0.0
24,7,page_view,2024-06-23T16:07,,0.0
25,7,add_to_cart,2024-06-23T16:09,,0.0
26,8,page_view,2024-09-01T11:24,,0.0
27,8,page_view,2024-09-01T11:27,,0.0
28,9,page_view,2024-02-06T01:48,,0.0
29,10,page_view,2024-05-23T04:47,,0.0
30,10,page_view,2024-05-23T04:49,,0.0
31,11,page_view,2024-10-29T08:56,,0.0
32,11,page_view,2024-10-29T09:01,,0.0
33,11,page_view,2024-10-29T08:58,,0.0
34,11,page_view,2024-10-29T09:02,,0.0
35,11,page_view,2024-10-29T09:00,,0.0
36,11,add_to_cart,2024-10-29T09:01,,0.0
37,12,page_view,2025-10-15T15:38,,0.0
38,12,page_view,2025-10-15T15:43,,0.0
39,13,page_view,2025-06-30T12:44,,0.0
40,13,page_view,2025-06-30T12:47,,0.0
41,13,page_view,2025-06-30T12:46,,0.0
42,13,page_view,2025-06-30T12:50,,0.0
43,13,add_to_cart,2025-06-30T12:54,,0.0
44,13,purchase,2025-06-30T13:08,4220,4697.2
45,14,page_view,2024-06-29T11:11,,0.0
46,14,page_view,2024-06-29T11:14,,0.0
47,14,page_view,2024-06-29T11:13,,0.0
48,15,page_view,2024-05-11T19:45,,0.0
49,15,page_view,2024-05-11T19:48,,0.0
50,15,add_to_cart,2024-05-11T19:49,,0.0
51,16,page_view,2025-07-08T22:21,,0.0
52,16,page_view,2025-07-08T22:25,,0.0
53,16,page_view,2025-07-08T22:29,,0.0
54,16,page_view,2025-07-08T22:36,,0.0
55,16,page_view,2025-07-08T22:25,,0.0
56,17,page_view,2025-07-16T00:39,,0.0
57,17,page_view,2025-07-16T00:41,,0.0
58,17,page_view,2025-07-16T00:43,,0.0
59,18,page_view,2025-02-18T10:35,,0.0
60,18,purchase,2025-02-18T10:44,19057,3147.0
61,19,page_view,2025-03-12T08:15,,0.0
62,19,page_view,2025-03-12T08:20,,0.0
63,20,page_view,2025-10-18T09:46,,0.0
64,20,page_view,2025-10-18T09:49,,0.0
65,20,page_view,2025-10-18T09:52,,0.0
66,20,page_view,2025-10-18T09:52,,0.0
67,20,page_view,2025-10-18T09:58,,0.0
68,21,page_view,2024-01-18T12:30,,0.0
69,21,page_view,2024-01-18T12:32,,0.0
70,21,page_view,2024-01-18T12:38,,0.0
71,21,add_to_cart,2024-01-18T12:33,,0.0
72,22,page_view,2024-10-19T04:48,,0.0
73,22,page_view,2024-10-19T04:52,,0.0
74,22,page_view,2024-10-19T04:54,,0.0
75,22,page_view,2024-10-19T04:51,,0.0
76,23,page_view,2025-05-16T14:13,,0.0
77,24,page_view,2025-02-05T05:51,,0.0
78,25,page_view,2024-05-04T07:20,,0.0
79,25,page_view,2024-05-04T07:21,,0.0
80,25,page_view,2024-05-04T07:22,,0.0
81,26,page_view,2024-01-19T21:14,,0.0
82,26,page_view,2024-01-19T21:19,,0.0
83,26,page_view,2024-01-19T21:16,,0.0
84,26,page_view,2024-01-19T21:20,,0.0
85,26,page_view,2024-01-19T21:34,,0.0
86,27,page_view,2024-05-12T22:20,,0.0
87,27,page_view,2024-05-12T22:23,,0.0
88,27,page_view,2024-05-12T22:30,,0.0
89,27,add_to_cart,2024-05-12T22:28,,0.0
90,28,page_view,2025-03-25T10:45,,0.0
91,29,page_view,2025-09-22T14:13,,0.0
92,29,page_view,2025-09-22T14:15,,0.0
93,29,page_view,2025-09-22T14:19,,0.0
94,29,page_view,2025-09-22T14:28,,0.0
95,29,page_view,2025-09-22T14:17,,0.0
96,30,page_view,2025-05-30T07:05,,0.0
97,30,page_view,2025-05-30T07:07,,0.0
98,30,page_view,2025-05-30T07:07,,0.0
99,31,page_view,2025-10-16T11:49,,0.0
100,32,page_view,2025-02-09T21:21,,0.0
101,32,page_view,2025-02-09T21:22,,0.0
102,32,add_to_cart,2025-02-09T21:33,,0.0
103,33,page_view,2025-01-28T05:39,,0.0
104,33,page_view,2025-01-28T05:44,,0.0
105,33,page_view,2025-01-28T05:45,,0.0
106,33,page_view,2025-01-28T05:45,,0.0
107,34,page_view,2024-06-26T04:26,,0.0
108,34,page_view,2024-06-26T04:31,,0.0
109,35,page_view,2024-09-11T05:16,,0.0
110,36,page_view,2025-01-09T09:53,,0.0
111,37,page_view,2025-06-19T19:51,,0.0
112,38,page_view,2024-04-15T19:09,,0.0
113,38,page_view,2024-04-15T19:11,,0.0
114,39,page_view,2025-07-30T17:22,,0.0
115,39,page_view,2025-07-30T17:24,,0.0
116,39,page_view,2025-07-30T17:28,,0.0
117,39,purchase,2025-07-30T17:36,3588,4941.2
118,40,page_view,2024-03-29T13:34,,0.0
119,40,page_view,2024-03-29T13:39,,0.0
120,40,page_view,2024-03-29T13:42,,0.0
121,40,page_view,2024-03-29T13:37,,0.0
122,40,page_view,2024-03-29T13:46,,0.0
123,41,page_view,2024-05-18T05:47,,0.0
124,41,page_view,2024-05-18T05:49,,0.0
125,41,page_view,2024-05-18T05:55,,0.0
126,42,page_view,2024-11-14T23:59,,0.0
127,42,page_view,2024-11-15T00:04,,0.0
128,42,page_view,2024-11-15T00:01,,0.0
129,42,page_view,2024-11-15T00:05,,0.0
130,43,page_view,2024-09-17T15:09,,0.0
131,43,page_view,2024-09-17T15:13,,0.0
132,44,page_view,2025-10-01T13:30,,0.0
133,44,page_view,2025-10-01T13:33,,0.0
134,45,page_view,2024-11-04T21:16,,0.0
135,45,page_view,2024-11-04T21:21,,0.0
136,45,page_view,2024-11-04T21:26,,0.0
137,45,page_view,2024-11-04T21:19,,0.0
138,45,page_view,2024-11-04T21:28,,0.0
139,45,add_to_cart,2024-11-04T21:29,,0.0
140,45,purchase,2024-11-04T21:31,19425,4672.1
141,46,page_view,2024-06-27T09:30,,0.0
142,46,page_view,2024-06-27T09:35,,0.0
143,46,page_view,2024-06-27T09:40,,0.0
144,46,page_view,2024-06-27T09:36,,0.0
145,47,page_view,2025-05-26T19:17,,0.0
146,47,page_view,2025-05-26T19:22,,0.0
147,47,add_to_cart,2025-05-26T19:18,,0.0
148,47,purchase,2025-05-26T19:24,4259,4412.75
149,48,page_view,2024-01-14T02:02,,0.0
150,48,page_view,2024-01-14T02:04,,0.0
151,48,page_view,2024-01-14T02:08,,0.0
152,48,page_view,2024-01-14T02:05,,0.0
153,48,page_view,2024-01-14T02:10,,0.0
154,49,page_view,2024-05-21T20:36,,0.0
155,49,page_view,2024-05-21T20:37,,0.0
156,50,page_view,2024-06-18T21:36,,0.0
157,50,page_view,2024-06-18T21:38,,0.0
158,50,page_view,2024-06-18T21:44,,0.0
159,51,page_view,2025-07-04T13:51,,0.0
160,51,page_view,2025-07-04T13:55,,0.0
161,51,page_view,2025-07-04T13:59,,0.0
162,51,page_view,2025-07-04T13:54,,0.0
163,52,page_view,2025-07-09T07:48,,0.0
164,52,page_view,2025-07-09T07:52,,0.0
165,53,page_view,2025-04-20T09:25,,0.0
166,53,page_view,2025-04-20T09:28,,0.0
167,53,page_view,2025-04-20T09:29,,0.0
168,54,page_view,2025-01-20T01:54,,0.0
169,55,page_view,2025-06-23T23:08,,0.0
170,55,page_view,2025-06-23T23:09,,0.0
171,55,page_view,2025-06-23T23:10,,0.0
172,55,page_view,2025-06-23T23:11,,0.0
173,56,page_view,2024-07-27T01:03,,0.0
174,56,page_view,2024-07-27T01:08,,0.0
175,56,page_view,2024-07-27T01:09,,0.0
176,56,page_view,2024-07-27T01:09,,0.0
177,56,page_view,2024-07-27T01:07,,0.0
178,56,purchase,2024-07-27T01:06,2560,5229.6
179,57,page_view,2024-08-06T23:43,,0.0
180,57,page_view,2024-08-06T23:44,,0.0
181,57,page_view,2024-08-06T23:49,,0.0
182,57,page_view,2024-08-06T23:49,,0.0
183,57,add_to_cart,2024-08-06T23:55,,0.0
184,58,page_view,2024-02-17T17:47,,0.0
185,58,page_view,2024-02-17T17:48,,0.0
186,58,page_view,2024-02-17T17:55,,0.0
187,59,page_view,2024-07-23T02:07,,0.0
188,59,page_view,2024-07-23T02:12,,0.0
189,59,page_view,2024-07-23T02:13,,0.0
190,60,page_view,2025-08-02T19:04,,0.0
191,60,page_view,2025-08-02T19:05,,0.0
192,60,add_to_cart,2025-08-02T19:18,,0.0
193,61,page_view,2024-06-10T12:46,,0.0
194,61,page_view,2024-06-10T12:51,,0.0
195,61,page_view,2024-06-10T12:52,,0.0
196,61,page_view,2024-06-10T12:58,,0.0
197,61,page_view,2024-06-10T13:02,,0.0
198,62,page_view,2024-01-18T10:25,,0.0
199,62,page_view,2024-01-18T10:26,,0.0
200,63,page_view,2024-04-13T14:06,,0.0
201,63,page_view,2024-04-13T14:07,,0.0
202,63,purchase,2024-04-13T14:16,14537,4944.45
203,64,page_view,2024-03-12T02:56,,0.0
204,64,page_view,2024-03-12T02:59,,0.0
205,65,page_view,2024-07-22T05:03,,0.0
206,65,page_view,2024-07-22T05:08,,0.0
207,65,page_view,2024-07-22T05:05,,0.0
208,66,page_view,2025-05-27T12:21,,0.0
209,66,page_view,2025-05-27T12:22,,0.0
210,66,page_view,2025-05-27T12:25,,0.0
211,66,page_view,2025-05-27T12:27,,0.0
212,67,page_view,2025-12-27T14:43,,0.0
213,67,page_view,2025-12-27T14:46,,0.0
214,67,purchase,2025-12-27T14:47,12666,6263.5
215,68,page_view,2024-09-30T13:28,,0.0
216,68,page_view,2024-09-30T13:32,,0.0
217,69,page_view,2025-02-10T13:25,,0.0
218,70,page_view,2024-03-05T14:46,,0.0
219,70,page_view,2024-03-05T14:48,,0.0
220,71,page_view,2024-01-30T01:39,,0.0
221,71,page_view,2024-01-30T01:44,,0.0
222,71,page_view,2024-01-30T01:47,,0.0
223,72,page_view,2024-03-04T20:59,,0.0
224,72,page_view,2024-03-04T21:02,,0.0
225,72,page_view,2024-03-04T21:05,,0.0
226,72,page_view,2024-03-04T21:11,,0.0
227,72,page_view,2024-03-04T21:03,,0.0
228,73,page_view,2025-05-26T18:58,,0.0
229,73,purchase,2025-05-26T19:04,4798,3687.9
230,74,page_view,2024-10-20T21:12,,0.0
231,74,page_view,2024-10-20T21:16,,0.0
232,74,page_view,2024-10-20T21:18,,0.0
233,74,page_view,2024-10-20T21:21,,0.0
234,75,page_view,2025-10-21T13:18,,0.0
235,75,page_view,2025-10-21T13:21,,0.0
236,75,page_view,2025-10-21T13:26,,0.0
237,75,page_view,2025-10-21T13:21,,0.0
238,76,page_view,2024-11-30T00:18,,0.0
239,76,page_view,2024-11-30T00:23,,0.0
240,76,page_view,2024-11-30T00:24,,0.0
241,76,page_view,2024-11-30T00:27,,0.0
242,77,page_view,2025-11-29T01:33,,0.0
243,78,page_view,2024-12-20T00:18,,0.0
244,78,page_view,2024-12-20T00:19,,0.0
245,78,page_view,2024-12-20T00:20,,0.0
246,78,add_to_cart,2024-12-20T00:19,,0.0
247,79,page_view,2024-11-20T00:32,,0.0
248,79,page_view,2024-11-20T00:37,,0.0
249,79,page_view,2024-11-20T00:36,,0.0
250,79,page_view,2024-11-20T00:47,,0.0
251,79,page_view,2024-11-20T00:52,,0.0
252,80,page_view,2025-05-29T22:31,,0.0
253,80,page_view,2025-05-29T22:35,,0.0
254,80,page_view,2025-05-29T22:41,,0.0
255,80,page_view,2025-05-29T22:43,,0.0
